SR1_J1      , XXXX-01-01 ,1,310
SR1_J1      , XXXX-02-01 ,1,300
SR1_J1      , XXXX-03-01 ,1,300
SR1_J1      , XXXX-04-01 ,1,300
SR1_J1      , XXXX-05-01 ,1,310
SR1_J1      , XXXX-06-01 ,1,300
SR1_Ag1     , XXXX-01-01 ,1,200
SR1_Ag1     , XXXX-02-01 ,1,210
SR1_Ag1     , XXXX-03-01 ,1,210
SR1_Ag1     , XXXX-04-01 ,1,200
SR1_Ag1     , XXXX-05-01 ,1,200
SR1_Ag1     , XXXX-06-01 ,1,200
J1_Urb1     , XXXX-01-01 ,1,220
J1_Urb1     , XXXX-02-01 ,1,250
J1_Urb1     , XXXX-03-01 ,1,240
J1_Urb1     , XXXX-04-01 ,1,230
J1_Urb1     , XXXX-05-01 ,1,240
J1_Urb1     , XXXX-06-01 ,1,250
J1_EndPt    , XXXX-01-01 ,1,200
J1_EndPt    , XXXX-02-01 ,1,200
J1_EndPt    , XXXX-03-01 ,1,200
J1_EndPt    , XXXX-04-01 ,1,200
J1_EndPt    , XXXX-05-01 ,1,200
J1_EndPt    , XXXX-06-01 ,1,200
