Name,X,Y,Type,regional_supply,regional_demand,Ref_P1,Ref_Q1,Ref_P2,Ref_Q2,Limit,Ref_P,Ref_Q,Elas,Tax,Ex_Dem,Description
Units,,,,-,-,-,-,-,-,-,-,-,-,-,-,
Mexico,-11570166,2822883,supply_demand,NULL,NULL,,2,,0.5,2.5,1,2.2,-0.5,,,
Alberta_BC,-12615733,7114318,supply,NULL,,,3,,1.6,3.75,,,,,,
Atlantic,-12642234,7060316,supply_demand,NULL,NULL,,0.25,,0.03,0.3,3.5,0.2,-0.5,,,
Appalacia,-9227678,4402886,supply,NULL,,3.5,0.58,7,0.65,0.72,,,,,,
US_Gulf,-9198140,4134777,supply,NULL,,3.5,7.88,7,8.82,9.75,,,,,,
Mid_Cont,-11047342,5088693,supply,NULL,,3.5,2.07,7,2.31,2.55,,,,,,
Permian_B,-11531200,3569573,supply,NULL,,3.5,1.39,7,1.55,1.72,,,,,,
Rockies,-13613238,6190155,supply,NULL,,3.5,1.16,7,1.3,1.44,,,,,,
Pacific,-13761268,5717617,supply,NULL,,3.5,0.42,7,0.47,0.52,,,,,,
Alaska,-18350196,9796783,supply,NULL,,2,0.8,2,0.1,55555,,,,,,
West_Can,-14994330,7437866,demand,,NULL,,,,,,3,1.47,-0.5,,,
Ont_Quebec,-9254528,5844945,demand,,NULL,,,,,,3.5,1.38,-0.5,,,
New_Engl,-7900074,5465720,demand,,NULL,,,,,,9.37,0.76,-0.6,,,
NY_NJ,-9240948,4974486,demand,,NULL,,,,,,8.33,1.18,-0.66,,,
Mid_Atl,-9857973,6121282,demand,,NULL,,,,,,8.26,0.89,-0.65,,,
South_Atl,-8960539,3785792,demand,,NULL,,,,,,8.07,1.62,-0.89,,,
Midwest,-10157117,5443701,demand,,NULL,,,,,,8.01,2.96,-0.65,,,
South_West,-12384482,5025620,demand,,NULL,,,,,,7.29,6.04,-0.84,,,
Central,-10993280,3778584,demand,,NULL,,,,,,7.79,1.17,-0.67,,,
N_Central,-12049296,6205979,demand,,NULL,,,,,,8.06,1.51,-0.54,,,
West,-13829746,4894068,demand,,NULL,,,,,,8.18,2.1,-0.43,,,
N_West,-13238666,6090646,demand,,NULL,,,,,,9.39,0.36,-0.57,,,
