Name,From,To,Type,shipment_of_natural_gas,utc,pc,Description
Units,,,,tcf,USS Mcf^-1,tcf,
Mexico_Mexico,Mexico,Mexico,pipeline,NULL,0.25,55555,
Mexico_NY_NJ,Mexico,NY_NJ,pipeline,NULL,2.29,0.067,
Mexico_Mid_Atl,Mexico,Mid_Atl,pipeline,NULL,2.22,0.067,
Mexico_South_Atl,Mexico,South_Atl,pipeline,NULL,2.03,0.067,
Mexico_Midwest,Mexico,Midwest,pipeline,NULL,1.96,0.067,
Mexico_South_West,Mexico,South_West,pipeline,NULL,1.25,,
Mexico_West,Mexico,West,pipeline,NULL,2.13,0.033,
Alberta_BC_West_Can,Alberta_BC,West_Can,pipeline,NULL,0.4,55555,
Alberta_BC_Ont_Quebec,Alberta_BC,Ont_Quebec,pipeline,NULL,0.9,55555,
Alberta_BC_New_Engl,Alberta_BC,New_Engl,pipeline,NULL,1.15,0.3,
Alberta_BC_NY_NJ,Alberta_BC,NY_NJ,pipeline,NULL,1.1,0.15,
Alberta_BC_Mid_Atl,Alberta_BC,Mid_Atl,pipeline,NULL,1.1,0.1,
Alberta_BC_South_Atl,Alberta_BC,South_Atl,pipeline,NULL,1.55,,
Alberta_BC_Midwest,Alberta_BC,Midwest,pipeline,NULL,0.8,55555,
Alberta_BC_South_West,Alberta_BC,South_West,pipeline,NULL,1.25,,
Alberta_BC_Central,Alberta_BC,Central,pipeline,NULL,0.8,55555,
Alberta_BC_N_Central,Alberta_BC,N_Central,pipeline,NULL,0.65,55555,
Alberta_BC_West,Alberta_BC,West,pipeline,NULL,0.7,55555,
Alberta_BC_N_West,Alberta_BC,N_West,pipeline,NULL,0.65,55555,
Atlantic_Atlantic,Atlantic,Atlantic,pipeline,NULL,,55555,
Atlantic_New_Engl,Atlantic,New_Engl,pipeline,NULL,1.5,55555,
Appalacia_Mid_Atl,Appalacia,Mid_Atl,pipeline,NULL,0.72,0.34,
Appalacia_Midwest,Appalacia,Midwest,pipeline,NULL,0.46,0.35,
US_Gulf_New_Engl,US_Gulf,New_Engl,pipeline,NULL,2.12,55555,
US_Gulf_NY_NJ,US_Gulf,NY_NJ,pipeline,NULL,1.08,1.39,
US_Gulf_Mid_Atl,US_Gulf,Mid_Atl,pipeline,NULL,1.01,1.06,
US_Gulf_South_Atl,US_Gulf,South_Atl,pipeline,NULL,0.82,2,
US_Gulf_Midwest,US_Gulf,Midwest,pipeline,NULL,0.75,2.62,
US_Gulf_South_West,US_Gulf,South_West,pipeline,NULL,0.04,3.73,
US_Gulf_Central,US_Gulf,Central,pipeline,NULL,0.54,,
Mid_Cont_Midwest,Mid_Cont,Midwest,pipeline,NULL,0.86,0.62,
Mid_Cont_South_West,Mid_Cont,South_West,pipeline,NULL,0.14,2.3,
Mid_Cont_Central,Mid_Cont,Central,pipeline,NULL,0.64,1.03,
Permian_B_South_Atl,Permian_B,South_Atl,pipeline,NULL,0.83,,
Permian_B_Midwest,Permian_B,Midwest,pipeline,NULL,0.77,0.12,
Permian_B_South_West,Permian_B,South_West,pipeline,NULL,0.05,1.45,
Permian_B_Central,Permian_B,Central,pipeline,NULL,0.55,,
Permian_B_West,Permian_B,West,pipeline,NULL,0.94,1.46,
Rockies_Midwest,Rockies,Midwest,pipeline,NULL,0.53,0.48,
Rockies_Central,Rockies,Central,pipeline,NULL,0.31,0.14,
Rockies_N_Central,Rockies,N_Central,pipeline,NULL,0.58,55555,
Rockies_West,Rockies,West,pipeline,NULL,0.94,0.1,
Rockies_N_West,Rockies,N_West,pipeline,NULL,,55555,
Alaska_Midwest,Alaska,Midwest,pipeline,NULL,6,0.8,
Pacific_West,Pacific,West,pipeline,NULL,0.43,0.48,
