,,,0
Ag1_GW2,2020-07-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-06-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-03-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-05-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-04-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-09-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-08-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-02-01T00:00:00.000000000Z,1,0
Ag1_GW2,2020-01-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-07-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-06-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-03-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-05-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-04-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-09-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-08-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-02-01T00:00:00.000000000Z,1,0
Ag1_J2,2020-01-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-07-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-06-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-03-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-05-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-04-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-09-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-08-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-02-01T00:00:00.000000000Z,1,0
Ag2_GW2,2020-01-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-07-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-06-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-03-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-05-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-04-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-09-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-08-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-02-01T00:00:00.000000000Z,1,0
Ag2_J3,2020-01-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-07-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-06-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-03-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-05-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-04-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-09-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-08-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-02-01T00:00:00.000000000Z,1,0
Desal1_Urb2,2020-01-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-07-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-06-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-03-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-05-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-04-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-09-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-08-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-02-01T00:00:00.000000000Z,1,0
GW1_Urb1,2020-01-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-07-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-06-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-03-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-05-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-04-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-09-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-08-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-02-01T00:00:00.000000000Z,1,0
GW2_Ag1,2020-01-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-07-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-06-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-03-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-05-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-04-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-09-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-08-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-02-01T00:00:00.000000000Z,1,0
GW2_Ag2,2020-01-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-07-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-06-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-03-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-05-01T00:00:00.000000000Z,1,0
Hp1_SR4,2020-04-01T00:00:00.000000000Z,1,0
