,,,0
Ag1,2020-07-01T00:00:00.000000000Z,1,29
Ag1,2020-06-01T00:00:00.000000000Z,1,29
Ag1,2020-03-01T00:00:00.000000000Z,1,27
Ag1,2020-05-01T00:00:00.000000000Z,1,27
Ag1,2020-04-01T00:00:00.000000000Z,1,27
Ag1,2020-09-01T00:00:00.000000000Z,1,28
Ag1,2020-08-01T00:00:00.000000000Z,1,29
Ag1,2020-02-01T00:00:00.000000000Z,1,27
Ag1,2020-01-01T00:00:00.000000000Z,1,27
Ag2,2020-07-01T00:00:00.000000000Z,1,22
Ag2,2020-06-01T00:00:00.000000000Z,1,22
Ag2,2020-03-01T00:00:00.000000000Z,1,21
Ag2,2020-05-01T00:00:00.000000000Z,1,22
Ag2,2020-04-01T00:00:00.000000000Z,1,21
Ag2,2020-09-01T00:00:00.000000000Z,1,21
Ag2,2020-08-01T00:00:00.000000000Z,1,22
Ag2,2020-02-01T00:00:00.000000000Z,1,21
Ag2,2020-01-01T00:00:00.000000000Z,1,21
EndPt,2020-07-01T00:00:00.000000000Z,1,14
EndPt,2020-06-01T00:00:00.000000000Z,1,15
EndPt,2020-03-01T00:00:00.000000000Z,1,14
EndPt,2020-05-01T00:00:00.000000000Z,1,15
EndPt,2020-04-01T00:00:00.000000000Z,1,15
EndPt,2020-09-01T00:00:00.000000000Z,1,16
EndPt,2020-08-01T00:00:00.000000000Z,1,15
EndPt,2020-02-01T00:00:00.000000000Z,1,16
EndPt,2020-01-01T00:00:00.000000000Z,1,15
Urb1,2020-07-01T00:00:00.000000000Z,1,50
Urb1,2020-06-01T00:00:00.000000000Z,1,49
Urb1,2020-03-01T00:00:00.000000000Z,1,44
Urb1,2020-05-01T00:00:00.000000000Z,1,46
Urb1,2020-04-01T00:00:00.000000000Z,1,44
Urb1,2020-09-01T00:00:00.000000000Z,1,47
Urb1,2020-08-01T00:00:00.000000000Z,1,50
Urb1,2020-02-01T00:00:00.000000000Z,1,43
Urb1,2020-01-01T00:00:00.000000000Z,1,43
Urb2,2020-07-01T00:00:00.000000000Z,1,69
Urb2,2020-06-01T00:00:00.000000000Z,1,65
Urb2,2020-03-01T00:00:00.000000000Z,1,60
Urb2,2020-05-01T00:00:00.000000000Z,1,62
Urb2,2020-04-01T00:00:00.000000000Z,1,62
Urb2,2020-09-01T00:00:00.000000000Z,1,64
Urb2,2020-08-01T00:00:00.000000000Z,1,69
Urb2,2020-02-01T00:00:00.000000000Z,1,60
Urb2,2020-01-01T00:00:00.000000000Z,1,60
