,,,Ag1 (Column 1)
Ag1,2020-07-01T00:00:00.000000000Z,1,29
Ag1,2020-06-01T00:00:00.000000000Z,1,29
Ag1,2020-03-01T00:00:00.000000000Z,1,27
Ag1,2020-05-01T00:00:00.000000000Z,1,27
Ag1,2020-04-01T00:00:00.000000000Z,1,27
Ag1,2020-09-01T00:00:00.000000000Z,1,280
Ag1,2020-08-01T00:00:00.000000000Z,1,29
Ag1,2020-02-01T00:00:00.000000000Z,1,270
Ag1,2020-01-01T00:00:00.000000000Z,1,55
Ag2,2020-07-01T00:00:00.000000000Z,1,22
Ag2,2020-06-01T00:00:00.000000000Z,1,22
Ag2,2020-03-01T00:00:00.000000000Z,1,21
Ag2,2020-05-01T00:00:00.000000000Z,1,22
Ag2,2020-04-01T00:00:00.000000000Z,1,21
Ag2,2020-09-01T00:00:00.000000000Z,1,210
Ag2,2020-08-01T00:00:00.000000000Z,1,22
Ag2,2020-02-01T00:00:00.000000000Z,1,210
Ag2,2020-01-01T00:00:00.000000000Z,1,60
EndPt,2020-07-01T00:00:00.000000000Z,1,14
EndPt,2020-06-01T00:00:00.000000000Z,1,15
EndPt,2020-03-01T00:00:00.000000000Z,1,14
EndPt,2020-05-01T00:00:00.000000000Z,1,15
EndPt,2020-04-01T00:00:00.000000000Z,1,15
EndPt,2020-09-01T00:00:00.000000000Z,1,160
EndPt,2020-08-01T00:00:00.000000000Z,1,15
EndPt,2020-02-01T00:00:00.000000000Z,1,160
EndPt,2020-01-01T00:00:00.000000000Z,1,15
Urb1,2020-07-01T00:00:00.000000000Z,1,50
Urb1,2020-06-01T00:00:00.000000000Z,1,49
Urb1,2020-03-01T00:00:00.000000000Z,1,44
Urb1,2020-05-01T00:00:00.000000000Z,1,46
Urb1,2020-04-01T00:00:00.000000000Z,1,44
Urb1,2020-09-01T00:00:00.000000000Z,1,470
Urb1,2020-08-01T00:00:00.000000000Z,1,50
Urb1,2020-02-01T00:00:00.000000000Z,1,430
Urb1,2020-01-01T00:00:00.000000000Z,1,75
Urb2,2020-07-01T00:00:00.000000000Z,1,69
Urb2,2020-06-01T00:00:00.000000000Z,1,65
Urb2,2020-03-01T00:00:00.000000000Z,1,60
Urb2,2020-05-01T00:00:00.000000000Z,1,62
Urb2,2020-04-01T00:00:00.000000000Z,1,62
Urb2,2020-09-01T00:00:00.000000000Z,1,640
Urb2,2020-08-01T00:00:00.000000000Z,1,69
Urb2,2020-02-01T00:00:00.000000000Z,1,600
Urb2,2020-01-01T00:00:00.000000000Z,1,90
