,,,0.0
Desal1,2020-07-01T00:00:00.000000000Z,1,100000
Desal1,2020-06-01T00:00:00.000000000Z,1,100000
Desal1,2020-03-01T00:00:00.000000000Z,1,100000
Desal1,2020-05-01T00:00:00.000000000Z,1,100000
Desal1,2020-04-01T00:00:00.000000000Z,1,100000
Desal1,2020-09-01T00:00:00.000000000Z,1,100000
Desal1,2020-08-01T00:00:00.000000000Z,1,100000
Desal1,2020-02-01T00:00:00.000000000Z,1,100000
Desal1,2020-01-01T00:00:00.000000000Z,1,100000
GW1,2020-07-01T00:00:00.000000000Z,1,2000
GW1,2020-06-01T00:00:00.000000000Z,1,2000
GW1,2020-03-01T00:00:00.000000000Z,1,2000
GW1,2020-05-01T00:00:00.000000000Z,1,2000
GW1,2020-04-01T00:00:00.000000000Z,1,2000
GW1,2020-09-01T00:00:00.000000000Z,1,2000
GW1,2020-08-01T00:00:00.000000000Z,1,2000
GW1,2020-02-01T00:00:00.000000000Z,1,2000
GW1,2020-01-01T00:00:00.000000000Z,1,2000
GW2,2020-07-01T00:00:00.000000000Z,1,2000
GW2,2020-06-01T00:00:00.000000000Z,1,2000
GW2,2020-03-01T00:00:00.000000000Z,1,2000
GW2,2020-05-01T00:00:00.000000000Z,1,2000
GW2,2020-04-01T00:00:00.000000000Z,1,2000
GW2,2020-09-01T00:00:00.000000000Z,1,2000
GW2,2020-08-01T00:00:00.000000000Z,1,2000
GW2,2020-02-01T00:00:00.000000000Z,1,2000
GW2,2020-01-01T00:00:00.000000000Z,1,2000
Hp1,2020-07-01T00:00:00.000000000Z,1,60
Hp1,2020-06-01T00:00:00.000000000Z,1,60
Hp1,2020-03-01T00:00:00.000000000Z,1,60
Hp1,2020-05-01T00:00:00.000000000Z,1,60
Hp1,2020-04-01T00:00:00.000000000Z,1,60
Hp1,2020-09-01T00:00:00.000000000Z,1,60
Hp1,2020-08-01T00:00:00.000000000Z,1,60
Hp1,2020-02-01T00:00:00.000000000Z,1,60
Hp1,2020-01-01T00:00:00.000000000Z,1,60
SR1,2020-07-01T00:00:00.000000000Z,1,500
SR1,2020-06-01T00:00:00.000000000Z,1,500
SR1,2020-03-01T00:00:00.000000000Z,1,500
SR1,2020-05-01T00:00:00.000000000Z,1,500
SR1,2020-04-01T00:00:00.000000000Z,1,500
SR1,2020-09-01T00:00:00.000000000Z,1,500
SR1,2020-08-01T00:00:00.000000000Z,1,500
SR1,2020-02-01T00:00:00.000000000Z,1,500
SR1,2020-01-01T00:00:00.000000000Z,1,500
SR2,2020-07-01T00:00:00.000000000Z,1,200
SR2,2020-06-01T00:00:00.000000000Z,1,200
SR2,2020-03-01T00:00:00.000000000Z,1,200
SR2,2020-05-01T00:00:00.000000000Z,1,200
SR2,2020-04-01T00:00:00.000000000Z,1,200
SR2,2020-09-01T00:00:00.000000000Z,1,200
SR2,2020-08-01T00:00:00.000000000Z,1,200
SR2,2020-02-01T00:00:00.000000000Z,1,200
SR2,2020-01-01T00:00:00.000000000Z,1,200
SR3,2020-07-01T00:00:00.000000000Z,1,700
SR3,2020-06-01T00:00:00.000000000Z,1,700
SR3,2020-03-01T00:00:00.000000000Z,1,700
SR3,2020-05-01T00:00:00.000000000Z,1,700
SR3,2020-04-01T00:00:00.000000000Z,1,700
SR3,2020-09-01T00:00:00.000000000Z,1,700
SR3,2020-08-01T00:00:00.000000000Z,1,700
SR3,2020-02-01T00:00:00.000000000Z,1,700
SR3,2020-01-01T00:00:00.000000000Z,1,700
SR4,2020-07-01T00:00:00.000000000Z,1,600
SR4,2020-06-01T00:00:00.000000000Z,1,600
SR4,2020-03-01T00:00:00.000000000Z,1,600
SR4,2020-05-01T00:00:00.000000000Z,1,600
SR4,2020-04-01T00:00:00.000000000Z,1,600
SR4,2020-09-01T00:00:00.000000000Z,1,600
SR4,2020-08-01T00:00:00.000000000Z,1,600
SR4,2020-02-01T00:00:00.000000000Z,1,600
SR4,2020-01-01T00:00:00.000000000Z,1,600
WTP1,2020-07-01T00:00:00.000000000Z,1,60
WTP1,2020-06-01T00:00:00.000000000Z,1,60
WTP1,2020-03-01T00:00:00.000000000Z,1,60
WTP1,2020-05-01T00:00:00.000000000Z,1,60
WTP1,2020-04-01T00:00:00.000000000Z,1,60
WTP1,2020-09-01T00:00:00.000000000Z,1,60
WTP1,2020-08-01T00:00:00.000000000Z,1,60
WTP1,2020-02-01T00:00:00.000000000Z,1,60
WTP1,2020-01-01T00:00:00.000000000Z,1,60
WTP2,2020-07-01T00:00:00.000000000Z,1,60
WTP2,2020-06-01T00:00:00.000000000Z,1,60
WTP2,2020-03-01T00:00:00.000000000Z,1,60
WTP2,2020-05-01T00:00:00.000000000Z,1,60
WTP2,2020-04-01T00:00:00.000000000Z,1,60
WTP2,2020-09-01T00:00:00.000000000Z,1,60
WTP2,2020-08-01T00:00:00.000000000Z,1,60
WTP2,2020-02-01T00:00:00.000000000Z,1,60
WTP2,2020-01-01T00:00:00.000000000Z,1,60
