,,,0.0
Ag1,2020-07-01T00:00:00.000000000Z,1,50
Ag1,2020-06-01T00:00:00.000000000Z,1,50
Ag1,2020-03-01T00:00:00.000000000Z,1,50
Ag1,2020-05-01T00:00:00.000000000Z,1,50
Ag1,2020-04-01T00:00:00.000000000Z,1,50
Ag1,2020-09-01T00:00:00.000000000Z,1,50
Ag1,2020-08-01T00:00:00.000000000Z,1,50
Ag1,2020-02-01T00:00:00.000000000Z,1,50
Ag1,2020-01-01T00:00:00.000000000Z,1,50
Ag2,2020-07-01T00:00:00.000000000Z,1,30
Ag2,2020-06-01T00:00:00.000000000Z,1,30
Ag2,2020-03-01T00:00:00.000000000Z,1,30
Ag2,2020-05-01T00:00:00.000000000Z,1,30
Ag2,2020-04-01T00:00:00.000000000Z,1,30
Ag2,2020-09-01T00:00:00.000000000Z,1,30
Ag2,2020-08-01T00:00:00.000000000Z,1,30
Ag2,2020-02-01T00:00:00.000000000Z,1,30
Ag2,2020-01-01T00:00:00.000000000Z,1,30
EndPt,2020-07-01T00:00:00.000000000Z,1,10
EndPt,2020-06-01T00:00:00.000000000Z,1,10
EndPt,2020-03-01T00:00:00.000000000Z,1,10
EndPt,2020-05-01T00:00:00.000000000Z,1,10
EndPt,2020-04-01T00:00:00.000000000Z,1,10
EndPt,2020-09-01T00:00:00.000000000Z,1,10
EndPt,2020-08-01T00:00:00.000000000Z,1,10
EndPt,2020-02-01T00:00:00.000000000Z,1,10
EndPt,2020-01-01T00:00:00.000000000Z,1,10
Urb1,2020-07-01T00:00:00.000000000Z,1,90
Urb1,2020-06-01T00:00:00.000000000Z,1,90
Urb1,2020-03-01T00:00:00.000000000Z,1,90
Urb1,2020-05-01T00:00:00.000000000Z,1,90
Urb1,2020-04-01T00:00:00.000000000Z,1,90
Urb1,2020-09-01T00:00:00.000000000Z,1,90
Urb1,2020-08-01T00:00:00.000000000Z,1,90
Urb1,2020-02-01T00:00:00.000000000Z,1,90
Urb1,2020-01-01T00:00:00.000000000Z,1,90
Urb2,2020-07-01T00:00:00.000000000Z,1,100
Urb2,2020-06-01T00:00:00.000000000Z,1,100
Urb2,2020-03-01T00:00:00.000000000Z,1,100
Urb2,2020-05-01T00:00:00.000000000Z,1,100
Urb2,2020-04-01T00:00:00.000000000Z,1,100
Urb2,2020-09-01T00:00:00.000000000Z,1,100
Urb2,2020-08-01T00:00:00.000000000Z,1,100
Urb2,2020-02-01T00:00:00.000000000Z,1,100
Urb2,2020-01-01T00:00:00.000000000Z,1,100
