Name, from, to, Type,flow,flow_multiplier,min_flow,max_flow, description
Units,,,,1e6 m^3 mon^-1,-,1e6 m^3 mon^-1,1e6 m^3 mon^-1,
Ag1_GW2,Ag1,GW2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Ag1_J2,Ag1,J2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Ag2_GW2,Ag2,GW2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Ag2_J3,Ag2,J3,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Desal1_Urb2,Desal1,Urb2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
GW1_Urb1,GW1,Urb1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
GW2_Ag1,GW2,Ag1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
GW2_Ag2,GW2,Ag2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Hp1_SR4,Hp1,SR4,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
J1_SR2,J1,SR2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
J2_Ag2,J2,Ag2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
J2_J3,J2,J3,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
J3_EndPt,J3,EndPt,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR1_J1,SR1,J1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR1_WTP1,SR1,WTP1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR2_SR4,SR2,SR4,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR3_Hp1,SR3,Hp1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR4_Ag1,SR4,Ag1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR4_J2,SR4,J2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
SR4_WTP2,SR4,WTP2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Urb1_GW1,Urb1,GW1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Urb2_J2,Urb2,J2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
WTP1_Urb1,WTP1,Urb1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
WTP2_Urb2,WTP2,Urb2,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
Urb1_J1,Urb1,J1,conduit,NULL,timeseries_LINK_flow_multiplier.csv,timeseries_LINK_min_flow.csv,timeseries_LINK_max_flow.csv,river or pipe
