set nodes:=
Desal1
WT1
WT2
Hp1
J1
J2
J3
SR2
SR3
SR1
GW1
EndPt
SR4
GW2
Urb2
Urb1
Ag2
Ag1;


set  links:=
Ag1 GW2
Ag1 J2
Ag2 GW2
Ag2 J3
Desal1 Urb2
GW1 Urb1
GW2 Ag1
GW2 Ag2
Hp1 SR4
J1 SR2
J2 Ag2
J2 J3
J3 EndPt
SR1 J1
SR1 WT1
WT1 Urb1
SR2 SR4
SR3 Hp1
SR4 Ag1
SR4 J2
SR4 WT2
WT2 Urb2
Urb1 GW1
Urb2 J2
Urb1 J1;

set demand_nodes:=
EndPt
Urb2
Urb1
Ag2
Ag1;

set  non_storage_nodes:=
WT1
WT2
Hp1
J1
J2
J3
EndPt
Urb2
Urb1
Ag2
Ag1;

set storage_nodes:=
Desal1
SR2
SR3
SR1
SR4
GW1
GW2;

set treatment_hydro_nodes:=
WT1
WT2
Hp1;

set hydro_nodes:=
Hp1;

set time_step:= 1 2 3 4 5 6 7 8 9;

  
param flow_multiplier:
                 1        2        3        4        5        6        7        8        9:=
[SR2,SR4]        1        1        1        1        1        1        1        1        1
[SR1,J1]         1        1        1        1        1        1        1        1        1
[J1,SR2]         1        1        1        1        1        1        1        1        1
[Ag1,J2]         0.95     0.95     0.95     0.95     0.95     0.95     0.95     0.95     0.95
[Urb1,J1]        1        1        1        1        1        1        1        1        1
[Ag2,GW2]        1        1        1        1        1        1        1        1        1
[SR4,Ag1]        0.95     0.95     0.95     0.95     0.95     0.95     0.95     0.95     0.95
[Hp1,SR4]        1        1        1        1        1        1        1        1        1
[Urb2,J2]        1        1        1        1        1        1        1        1        1
[J2,J3]          0.9      0.9      0.9      0.9      0.9      0.9      0.9      0.9      0.9
[SR4,J2]         0.95     0.95     0.95     0.95     0.95     0.95     0.95     0.95     0.95
[Ag1,GW2]        1        1        1        1        1        1        1        1        1
[SR3,Hp1]        1        1        1        1        1        1        1        1        1
[J2,Ag2]         1        1        1        1        1        1        1        1        1
[Urb1,GW1]       1        1        1        1        1        1        1        1        1
[Ag2,J3]         1        1        1        1        1        1        1        1        1
[J3,EndPt]       1        1        1        1        1        1        1        1        1
[GW2,Ag2]        1        1        1        1        1        1        1        1        1
[GW2,Ag1]        1        1        1        1        1        1        1        1        1
[Desal1,Urb2]    1        1        1        1        1        1        1        1        1
[GW1,Urb1]       1        1        1        1        1        1        1        1        1
[SR1,WT1]        1        1        1        1        1        1        1        1        1
[WT1,Urb1]       1        1        1        1        1        1        1        1        1
[SR4,WT2]        1        1        1        1        1        1        1        1        1
[WT2,Urb2]       1        1        1        1        1        1        1        1        1;

param min_flow:
                 1        2        3        4        5        6        7        8        9:=
[SR2,SR4]        0        0        0        0        0        0        0        0        0
[SR1,J1]         0        0        0        0        0        0        0        0        0
[J1,SR2]         0        0        0        0        0        0        0        0        0
[Ag1,J2]         0        0        0        0        0        0        0        0        0
[Urb1,J1]        0        0        0        0        0        0        0        0        0
[Ag2,GW2]        0        0        0        0        0        0        0        0        0
[SR4,Ag1]        0        0        0        0        0        0        0        0        0
[Hp1,SR4]        0        0        0        0        0        0        0        0        0
[Urb2,J2]        0        0        0        0        0        0        0        0        0
[J2,J3]          0        0        0        0        0        0        0        0        0
[SR4,J2]         0        0        0        0        0        0        0        0        0
[Ag1,GW2]        0        0        0        0        0        0        0        0        0
[SR3,Hp1]        30       30       30       30       30       30       30       30       30
[J2,Ag2]         0        0        0        0        0        0        0        0        0
[Urb1,GW1]       0        0        0        0        0        0        0        0        0
[Ag2,J3]         0        0        0        0        0        0        0        0        0
[J3,EndPt]       0        0        0        0        0        0        0        0        0
[GW2,Ag2]        0        0        0        0        0        0        0        0        0
[GW2,Ag1]        0        0        0        0        0        0        0        0        0
[Desal1,Urb2]    0        0        0        0        0        0        0        0        0
